question,answer,score
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,ada banyak jenis strukutr umum hikayat,0
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,memahami dulu apa yg mau kita ceritakan dan kita tulis terlebih dahulu dan kita susun dengna rapi benar cerita tersebut,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks laporan hasil observasi adalah teks yang berisi penjabaran fakta berdasarkanpengamatan terhadap suatu objek secara sistematis dan objektif,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objektif disusun sistematis ditulis berdasarkan fakta,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,tujuannya adalah tujuan lho adalah memberikan informasi faktual tentang suatu objek pengamatan agar pembaca memahami objek tsb dg jelas dan akurat,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot adalah cerita singkat yg lucu menyindir baisanya berkaitan dg kejadian nyata mengandung pesan kritik,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung humor sindiran berdasarkan kejadian yg hampir nyata,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak orientasi krisi rekasi koda,5
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah cerita klasik yg berisi tentang tokoh hebat biasanya penuh kejadian dan bertujuan memberikan pelajaran oral hiburan,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,menagndung unsur fantastik ajaib cerita berlatarkan kejadian bersifat turun temurun,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,tema tokoh dan penokohanm alur latar amanat,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,mengaanalisis teks pesan tentang nilai moral krisis sosial informasi penting pelajaran hidup yang ingin disampaikan oleh pneulis,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks laporan observasi yoiku teks kang dijelasake tentang nopo mawo teng teks niku enten unsur latar lan suara,0
sebutkan tiga ciri utama dari teks laporan hasil observasi,alur cerita tema gambaran,0
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,tujuan dibuatkan tek observasi adalah agar di pahami dan cepat di lakukan,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,anekdot yaitu sebah laporan yang tidak pasti tapi dapat di pahami,0
sebutkan dua ciri yang selalu ada dalam teks anekdot,tulisan kejelasan,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,tulisan setiap tek pasti memiliki tulisan maka perjelas tulisan dari teks anekdot tampilan menjadi lebih berkreasi,0
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat yoikuteks dasar seng gampang dijelasne kojok ape cerito nagnggo teks ikid adi lebih gampang,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,crita lama tentang apa saja kejelasan biar semakin jelas,0
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pembicara menjelaskan alur laurnya penulis halus lebih jelas dan ditail,0
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,hikayat harus lebih teliti lagi agar semua dpaat memahami apa yang seharusnya dipahami,0
