username,review,char_length,word_count,length_category,estimated_tokens
Hrehma,enak banget omaga,17,3,0-50,4.199999999999999
Maysha Geovani Pangestu,nyaman sekali,13,2,0-50,2.8
Cindy Artika Safitri,bgusss rekomendddd,18,2,0-50,2.8
Ratih Putri,mantappp bangettt,17,2,0-50,2.8
libia ulfa,"nyaman, enak suasananya",23,3,0-50,4.199999999999999
Bidan Bayi Bunda,pelayanannya bintang 5,22,3,0-50,4.199999999999999
Eny Bwi,enak buangett,13,2,0-50,2.8
Aprilysta Amelya,mantap bangettt,15,2,0-50,2.8
Kania fitriyana,enakk bangett,13,2,0-50,2.8
Rudy Swasono,harus sabar untuk antri pesanan,31,5,0-50,7.0
Handoko DPW,pelayanan lama,14,2,0-50,2.8
Felicia Ratnawati,murah banget tp pedes banget juga,33,6,0-50,8.399999999999999
Arini Trisdayanti,pelayanan cukup cepat,21,3,0-50,4.199999999999999
Diana Maulia Sabrina,tempatnya nyaman tidak panas,28,4,0-50,5.6
Shintia Devi,"murah , enak",12,3,0-50,4.199999999999999
Amanda Putri,menunggu gak terlalu lama,25,4,0-50,5.6
Dwi Yustiadi,mantaab makanannya hompimpanya enak,35,4,0-50,5.6
Sre beh,"bagus,,",7,1,0-50,1.4
Bg Lupi,mantab jos,10,2,0-50,2.8
hariman sivara,enakkk polll,12,2,0-50,2.8
Neysa Arkananta,sangat enakk,12,2,0-50,2.8
11_Dewi larasati,pelayanan gercep,16,2,0-50,2.8
Jasinta Acta Jelita,masukkan coba ganti musik,25,4,0-50,5.6
Evy Irmawati,"mie enak, dimsum enak, es teh enak",34,7,0-50,9.799999999999999
Edo Prasetyo,bintang menjawab,16,2,0-50,2.8
zulfa elfa,udang keju mantapp,18,3,0-50,4.199999999999999
CakMiko TV,luas puas nikmat,16,3,0-50,4.199999999999999
17Dimas Riyandi Dwi Saputra,okee baiikkk,12,2,0-50,2.8
02_ajeng Dwi,pelayqnan baik,14,2,0-50,2.8
dian putri,makanan good,12,2,0-50,2.8
Mei Diamita,paling the besttt,17,3,0-50,4.199999999999999
Lugis Nur Aini,"pelayanannya cepat,makanan nya juga enak",40,5,0-50,7.0
Nadya Ashila Afandik,udang kejunya enakkk,20,3,0-50,4.199999999999999
Adealif Mutiara,puas dan enak,13,3,0-50,4.199999999999999
Rajwa Syarifa,enakkkk bgttt,13,2,0-50,2.8
Deepha Nayara,ak cinta gacoan,15,3,0-50,4.199999999999999
Arina Diamarthasari,mantappp,8,1,0-50,1.4
Riski rahmatuloh,minumnya lama datengnya,23,3,0-50,4.199999999999999
Purwo Agung,udang keju the best,19,4,0-50,5.6
Wahyu Kholik,mantap,6,1,0-50,1.4
Evi Hariyani,enakk,5,1,0-50,1.4
Ida Fitriya,pelayanannya baik,17,2,0-50,2.8
Siti rohmania aprelia Lia,"pelayanannya baik,mbknya juga ramah",35,4,0-50,5.6
Ida Lailatulfitria,rasa oke pelayanannya oke,25,4,0-50,5.6
Septian D. Pranoto,menyala gacoanku,16,2,0-50,2.8
Gharsya Setyawan,pelayanan nya oke,17,3,0-50,4.199999999999999
Meysa Bella,kenyang bangett dan puas,24,4,0-50,5.6
Andiny Eka Hilmiah,enak bangett lochhhh,20,3,0-50,4.199999999999999
Darrius Rollan,baik cepat,10,2,0-50,2.8
Sutadi Warno,sangat lezat,12,2,0-50,2.8
Kepo Loe,mantap poll,11,2,0-50,2.8
Irpn Kyn,"bagus,kosisten terus",20,2,0-50,2.8
Guntur Mayunggo Seto,resto terbaik,13,2,0-50,2.8
Nimas Kharisma Tripitaloka,mantulll,8,1,0-50,1.4
Lila Bawazier,ok semua,8,2,0-50,2.8
Arfiqoh Hasni Andini,kerenn,6,1,0-50,1.4
Arini Citra,wah seru,8,2,0-50,2.8
Gery Saputra,bestttt bgt,11,2,0-50,2.8
Dila Duwi,mantaps,7,1,0-50,1.4
Deliya Sport,mantapp!!!,10,1,0-50,1.4
arin,memuaskan,9,1,0-50,1.4
Afti Saari,enak enak,9,2,0-50,2.8
Nafa Syakirah,baguss !!,9,2,0-50,2.8
ibnu afandy,terbaik,7,1,0-50,1.4
maulanakahfirafa Putra,enak bet,8,2,0-50,2.8
Vila Sari,kenyang poll,12,2,0-50,2.8
Wina Eka lestari,"pelayanannya baik, dan ramah",28,4,0-50,5.6
Zoxyux 441,mantapp,7,1,0-50,1.4
Moh Nabil Widad,mantapppp,9,1,0-50,1.4
bukan saya,sempurna,8,1,0-50,1.4
areta putri,ya mantap,9,2,0-50,2.8
Nugrah Genok,bagus,5,1,0-50,1.4
Rio Ramadan,baik,4,1,0-50,1.4
Jayclo,nyaman,6,1,0-50,1.4
Sarah Siti,ramah,5,1,0-50,1.4
Wanda a,lemot,5,1,0-50,1.4
HANI AYU MAHARANI,bgus,4,1,0-50,1.4
Dharma tiassesa,enakkkk,7,1,0-50,1.4
Sukma pratiwi,puas,4,1,0-50,1.4
nikita anggun,keren,5,1,0-50,1.4
Mario lie,mantab,6,1,0-50,1.4
Ulfa Nurdiana,"pelayanannya baik, suasanannya nyaman",37,4,0-50,5.6
taufik kirrohman,parkir luas makanan murah antri dan lumayan lama tapi karena tempatnya enak jadi bisa sekalian nyantai,102,16,101-200,22.4
Aida Ayufitriya,"makanan nya enak,pelayanan terbaik dan kualitas rasa nya cukup",62,9,51-100,12.6
Nabila Aprilliya,"rasanya oke cuma aga mirip mirip mie indomie goreng, and ya saya kurang selera makan karna mie yang di piring jatuh jatuh ke meja saya, jadi terkesan jorok kurang higenis, dan mas mas nya udah tau kalo mie nya jatuh gada permintaan maaf atau gimna diem ajaa",257,47,201-300,65.8
dendynizar zulmi,"pesen menu mie gacoan level 8,yang dateng menu mie hompimpa level 8 hadeeh",74,13,51-100,18.2
terry queen,enak bg t pelayanan ramah,25,5,0-50,7.0
elyza agustin,ramah bett,10,2,0-50,2.8
Nisa dzuriyati fajrin sabila,"enak banget, pelayanannya ramah banget",38,5,0-50,7.0
Bintang Hadyanta,tempat nya nyaman,17,3,0-50,4.199999999999999
Prayuda Aditya Wardana,makanannya dan puas sih berlama lama disini,43,7,0-50,9.799999999999999
Novitak Utamaa28,tekstur mie nya kecil kecil tidak seprti mie gacoan yang lainnya,64,11,51-100,15.399999999999999
lintang angelica,enakk bangettt,14,2,0-50,2.8
Aisyah Nuraini,"pelayanannya ramah, makanannya enakk bangett, pokonya sukaa bangett 100000010",77,9,51-100,12.6
Desy Wulandari,emang paling enak kalau makan di gacoan itu ramean. beli beberapa sidedish yg beda2 trus bisa saling shareing deh.,114,19,101-200,26.599999999999998
Mufarotul Hidayah,"pelayanannya ramah pol, makanannya enak ngenyangin kaya gacoan, i like gacoan",77,11,51-100,15.399999999999999
Karina Zulfa,gacoan emamg best,17,3,0-50,4.199999999999999
Siti Hudaibiyah,"enak bingitt, kenyang pol makan di sini",39,7,0-50,9.799999999999999
NONTON ANIME,"saran micnya tolong di ganti, kadang suka gak kedengeran",56,9,51-100,12.6
Selicha Ayu Wiby Gayatri,mantap dari pelayanannya dan rasanya,36,5,0-50,7.0
Desi Nabila,mantap josjis,13,2,0-50,2.8
Jesika cahya purnama putri,"layanannya rama,layanan cepat,",30,3,0-50,4.199999999999999
cantika azhaar,baikk dann nyaman enak bgt,26,5,0-50,7.0
Indah Dwirahayu,baik sangat bagus untuk rasa juga sudah pas dan kualitas pedasnya mantap,72,12,51-100,16.799999999999997
1D_113_Naora Marniea,"over all good, service nya bagus dan ramah makanannya juga enak semua, pelayanan lumayan cepat meskipun lagi rame",113,18,101-200,25.2
Vivo,cukup baik dan memuaskan,24,4,0-50,5.6
Ekanur Maulida,makanan nyaa enak pelayanan nyaa jugaa bagus,44,7,0-50,9.799999999999999
GarNix,makan disini selalu bikin kenyang,33,5,0-50,7.0
Anas Fathoni,"sangat sangat baik dari segi pelayanan, juga cepat",50,8,0-50,11.2
Maggy LEP,"kami disambut dengan hangat, dan beberapa pelayan yang bisa berbahasa inggris membantu kami memesan! makanannya sangat enak dan murah! tingkat kepedasan cabai tertera di menu level 0, level 1, dst biaya parkir rp 2.000 untuk skuter. saya rekomendasikan",252,38,201-300,53.199999999999996
Eka Rasyid,"semua dimsumnya enak, makanannya enak, minumannya juga.",55,7,51-100,9.799999999999999
M. Zainul Arifin,"pelaiane ga burukkk samsekkkk, trs ga seantri itu se, tp tolong makanane enak bgtttt",84,14,51-100,19.599999999999998
Azril Arthaa,"jika anda mau, kurangi saja.",28,5,0-50,7.0
Novi Sartika,100 menyukai jajak pendapat tersebut,36,5,0-50,7.0
Kirene Nahampun,"menurutku makanannya lumayan enak, tapi antriannya sangat panjang, worth it",75,10,51-100,14.0
jibril progamingg,karyawan misoo sangat senang melihat anda.,42,6,0-50,8.399999999999999
Léna Jaussaud,kami makan enak di mie gacoan. ridho septian menyambut kami dan membantu kami memesan. dia fasih berbahasa inggris!,115,18,101-200,25.2
Firyaalul Ufayroh,makanan enak dan tempat bersih,30,5,0-50,7.0
Frengky Achmad,makanannya dingin. kelihatannya tidak segar. mienya juga dingin. pelayanannya buruk. butuh waktu lama untuk mendapatkan minuman. makanannya sudah habis dan minumannya belum juga datang.,185,24,101-200,33.599999999999994
Elv Fun,"porsinya bagus, lucu, dan memuaskan",35,5,0-50,7.0
Lailia Afkarina,mantab kalau kalau kalau,24,4,0-50,5.6
Unit Unit,jika aku melakukannya,21,3,0-50,4.199999999999999
fitri novita,sangat memuaskan dan mengisi,28,4,0-50,5.6
Wahyu Nur,semuanya baik,13,2,0-50,2.8
DZAKI ALI LUQMAN,bawa pergi lama sis,19,4,0-50,5.6
Adinda Permatahati,"pelayanan bagus, makanan enak",29,4,0-50,5.6
Rifki Fajar,toppppppp,9,1,0-50,1.4
Rio Sovianto,"lucu banget, karena musiknya ncs",32,5,0-50,7.0
Beril Mustika,tempat yang bagus,17,3,0-50,4.199999999999999
2A_022_Fitri Suheyni,pelayanan yang baik untuk keluarga,34,5,0-50,7.0
Haikal Fikri Andiani,wenakk wenakkk,14,2,0-50,2.8
Eugenees,"bagus sekali, wow sekali",24,4,0-50,5.6
Khanza Salsabila,kamu sungguh menakjubkan.,25,3,0-50,4.199999999999999
b doang,pelayanan yang baik,19,3,0-50,4.199999999999999
Lilis Setiyorini,jika kamu seorang gandozz,25,4,0-50,5.6
KAYLA RAZIKA HERWANJI XI-7,jika,4,1,0-50,1.4
Nimskuy,oke sebentar lagi,17,3,0-50,4.199999999999999
Nia Maghfiroh,menyesap,8,1,0-50,1.4
Caesar Ghozi Al Anam,kelaz kink,10,2,0-50,2.8
rizky awan,kerja bagus,11,2,0-50,2.8
Alvin Putra Bekti,raja kelaz,10,2,0-50,2.8
Arif Mulyono,sangat bagus,12,2,0-50,2.8
fik4,5,1,1,0-50,1.4
riskyy wannabe,oke,3,1,0-50,1.4
Arin Hanabi,sinema mutlak,13,2,0-50,2.8
ziii,rendah rendah,13,2,0-50,2.8
Niezza Atpri,puasssssss,10,1,0-50,1.4
L.B.TsaniramdaniOktafiari 123,terbaikttttt,12,1,0-50,1.4
Black Zero,derek,5,1,0-50,1.4
Bintar Dian Purnomo,memasuki,8,1,0-50,1.4
Navictor,bagus bagus,11,2,0-50,2.8
Arya Anggara,selamat pagi,12,2,0-50,2.8
Rizqy,wenkkk,6,1,0-50,1.4
Vida vida,baguss,6,1,0-50,1.4
amania gina,sipp,4,1,0-50,1.4
Anak Desa,matap,5,1,0-50,1.4
Jenny Kayyiza,atas,4,1,0-50,1.4
Daphney,"nasi tempongnya enak sekali dengan lauk tambahan yang melimpah, sampe bingung makannya gimana karena saking banyaknya. aku juga pesan es temulawak dan nyobain untuk pertama kalinya dalam hidup, ternyata enak sekalii. yang perlu diperbaiki dari rumah makan ini servicenya yang lumayan lama, kebetulan pas aku datang lagi refill lauk lagi jadi lumayan nunggu 10 menitan sebelum dilayani. selain itu, di meja makannya lumayan banyak semut berkeliaran yang cukup membuat nafsu makan berkurang. tapi untungnya ada sambal yang bikin nafsu makan meningkat lagi karena sambalnya pedas sekali.",584,86,501-1000,120.39999999999999
Yohana Tarigan,"porsinya banyak banget. nasi, tahu, tempe, bakwan jagung, ikan asin, sayur rebus bayam, toge, kol, sambel tempong yang menurut saya kurang pedes, dan sepertinya sambelnya itu sambel matang. tambah lauk cumi, ayam goreng, telor dadar 2 porsi, minum teh anget, total 52rb saja. layak untuk dicoba.",295,46,201-300,64.39999999999999
Ika Izatul,uwww enak sambalnya pedasss bener bener nonjok. selama di banyuwangi kesana 2 kali. pertama malam hari antrian ga banyak dan lancar. kedua siang hari jam makan siang very crowded. rekomen udang gorengnya mantapp,211,33,201-300,46.199999999999996
HiroShima's Mommy,"lokasi strategis di tepi jalan raya utama, bersih dan pelayannya juga resik rajin membersihkan sisa yg selesai makan, lantai jg disapu. ibu2 yg melayani saat pilih menu orgnya ramah dlm menjelaskan pilihan menunya dan wkt makan jg ditanya enak ga, harganya murah bgt sih kemarin saya makan 2 porsi, 1 pakai lauk cumi ireng dan 1nya pakai telur dadar, kerupuk 2, es jeruk, es teh manis, dgn porsi lengkap itu cuma 43rb. minusnya justru menurut saya di sambel tempongnya yg kurang pedas. overall ok, thanks semoga laris manis terus ya!",533,90,501-1000,125.99999999999999
Ardian Nugroho,"nyampai banyuwangi langsung melipir ke sini buat nyobain makanan khasnya. lauknya banyak sekali pilihannya. ada ayam goreng, ati, dan masih banyak lagi. sambalnya agak pedas buat yang ga terbiasa makan sambal ya. tadi makan berdua habis 50 ribu.",245,38,201-300,53.199999999999996
Vivi Andrika,"paketan nasi tempongnya lengkap sekali nasi, lauk, gorengan tempe, tahu dan bakwan jagung lalapan dan sambal. pakai nasi separo aja udah kenyang banget. lauk-lauknya gurih dan pedas dari sambalnya masih sangat bisa dinikmati gak over pedes gitu rasanya. kalau ke banyuwangi wajib mampir ke sini! tapi kudu sabar ya karena di sini rame sekali",341,54,301-500,75.6
Recta Olivia Umboro,"suasana kaki lima yang dijamin bikin kangen dan pengen balik lagi. harganya ramah di kantong dengan cita rasa banyuwangi yang gk kaleng2. yang bikin beda tuh sambelnya.porsi nasi yg segambreng dengan lalapan bikin gk sadarkan diri buat nyuap lagi2 dan lagi smpe tau2 habis dipirinh juara lah pokoknya.selalu rame, tapi pelayanannya cepat.jd gk perlu nunggu lama2.",363,56,301-500,78.39999999999999
wahyuning sulistioningsih,"abis nyebrang dr pelabuhan gilimanuk mampir sini sebelum ke penginapan. lihat review di tiktok katanya enak. langsung deh cobain di kota asalnya bwi, ternyata bener2 enak, sambal nya manis tp pedes nampol gitu. makan berdua, lauk ayam, telur, hati dan udang. esteh kerupuk cuma 55rb aja murah pollllll",301,48,301-500,67.19999999999999
Joker Flower,"nasi tempongnya murah cuma sambelnya asin banget tapi juga pedes. enggak tau kenapa sambelnya kayak gitu sambelnya melimpah banget sih udangnya juga enak telur juga oke es teh jumbo dan murah tapi nasinya gak habis karena sambelnya asin banget tapi pedes nasi tempong isinya nasi, sayur, ikan asin, tahu tempe, dan sambel nasi tempong 8kporsi udang goreng tepung 13kporsi telur 3kporsi es teh 3kporsi makan sesuai foto hanya keluar 51k, murah sih segitu banyaknya enak tapi sedikit kecewa sambelnya mungkin kalo balik bwi gak bakal kesini lagi pernah iseng makan sambelan tempong random di pinggir jalan banyuwangi sambelnya enggak asin kok dan enak sebenarnya",660,104,501-1000,145.6
alviona putri,wajib banget mampir kesini nyobain tempong murce tapi rasanya enak poll! bakal ngerekomendasiin temen temenku buat datang kesini sih kalo pas main ke banyuwangi,160,24,101-200,33.599999999999994
Gideon Subagyo,"nasi tempong legend yang ada di banyuwangi. sambalnya berbeda dengan yang ada di bali, yang ini lebih nampol. rasanya manis, asin, pedas, asam nyampur jadi satu. tempatnya ga begitu besar dan cukup banyak pembelinya. tapi, mereka juga cepat kalau melayani custumer. harganya juga affordable.",291,44,201-300,61.599999999999994
Adhet Si Kentang,"ini cukup ramai gaes. jadi kudu sabar antri aja sih. yang aku suka dari tempat ini tempat makan cukup luas ada dlam dan luar, pilihan menu juga cukup banyak sih. dan sambelnya dikasih cukup banyak juga jadi puas aja. tapi jujurly bukan the best nasi tempong in town sih. harga lumayan juga tapi sesuai dengan porsinya. overall oke aja.",335,59,301-500,82.6
wiwin setiabudi,"mantap ini nasi tempong nya dari segi cita rasa khas banyuwangi sekali penyajian cepat, layanan juga gercep banget lokasinya gampang di jangkau dan harganya masi tetep murah meriah untuk lauk nya juga sangat lemgkap dan mantul",226,36,201-300,50.4
Adi Luthfi,"kesini untuk makan malam, waktu itu cukup ramai dan mengantri tapi ngga terlalu lama. kita bisa pilih mau makan pakai lauk apa. sambalnya juga enak, ngga yang pedes banget. tempat cukup nyaman ada yang di luar sama di dalem tempatnya.",234,40,201-300,56.0
amalia wardhani,"sepertinya salah satu yang terkenal di banyuwangi. harga murah rasa enak, pilihan lauknya banyak. sambel pedes banget. tempat duduk lumayan banyak. pas jam makan siang rame buanget.",181,27,101-200,37.8
ini Emailku,"lokasi pas di pinggir jalan jadi gampang nyari. sambelnya tipe pedes tapi ada manis manis nya disini harganya murah banget bertiga sama minum cuma 66 ribu antrinya lumayan gak lama duduknya bisa di luar atau di dalam, ada juga yg lesehan. tapi harus nunggu orang selesai makan dulu buat dapet tempat duduk",305,52,301-500,72.8
Bunny Hoop,"makan siang nasi tempong pake dadar dan cumi, melimpah ruah porsinya. harga 26k, bner bner kenyang dan rekomen sih pedesnya. fix wajib mampir dan masuk shortlist kuliner",169,27,101-200,37.8
Gyant Anggasepta,"nasi tempong recommended di banyuwangi kota. dengan porsi banyak, lauknya pilih sesuai selera, sambalnya pedes sekali. rasanya enakkk. yang beli ramai banget. dan harganya murah meriahh. cuma tempatnya kurang kipas angin, jadi sumuk berkeringat. kalau ke banyuwangi, sempatkan nyoba makan nasi tempong disini",308,43,301-500,60.199999999999996
Athaya Irfan,"enak, porsinya banyak. saya pesan masi tempong pakai dang, cumi, dan telur dadar total 41rb.",92,15,51-100,21.0
Rahmat Riyadi,"nasi tempong di tengah kota banyuwangi yang letaknya strategis di pinggir jalan raya. rasa makanannya dominan pedas dan porsi banyak, harga murah under 20k udah dapat nasi ayam es teh sambel dan pelengkapnya. untuk rasa makanan sama seperti yang lain dan sambalnya termasuk pedas. lauk-lauk yang disajikan dingin sehingga kurang nikmat.",336,51,301-500,71.39999999999999
Motorrio Rio,"keduakalinya saya dan keluarga makan disini, dan tetap mantaaaapp!! pilihan lauknya banyak, dan harga masih masuk akal kalau dilihat-lihat, nasi tempong ini mirip nasi sambelan di surabaya dan sekitarnya, bedanya standar sudah dikasih sayuran rebus, dadar jagung, tempe tahu, dan sambalnya pedas, manis gurih, bikin gobyos setelah selesai makan. nah lauknya itu yang bermacam-macam, dan digoreng semua, ngga ada yang direbus seingat saya. minumannya kalau pingin yang lejen bisa pilih temulawak bersoda yang dulu terkenal banget, namun sekarang mulai menghilang terdampak minuman bersoda impor.",594,84,501-1000,117.6
Liong Lie,"dari beberapa rumah makan yang menyajikan nasi tempong, saya lebih cocok dengan nasi tempong mbok nah. sayur dan lauk yang disajikan enak, sambalnya pun lebih enak. telor dadarnya gurih, wajib dicoba. ibu-ibu yang melayani di counter makanan juga sangat ramah dan sabar menjelaskan menu makanannya, meskipun kondisi sedang ramai antrian. rumah makannya sederhana namun cukup nyaman untuk menikmati makan di tempat. tempat makan dan suasana hanya fungsional, bukan tempat untuk berlama lama makan sambil ngobrol karena cukup ramai pengunjung. meski demikian, nasi tempong mbok nah sangat recommended bagi yang ingin menikmati nasi tempong makanan khas banyuwangi.",662,96,501-1000,134.39999999999998
Anton Chandra,pengalaman makan malam di nasi tempong ini menunya bervariasi dan enak banget sambelnyaaaaaa maknyossss dan harganya juga murahhh,129,18,101-200,25.2
Nadhira Haifa,"nyobain nasi tempong dari daerah asalnya. untuk rasa semua kombinasi yang ada di piring enak. harus cobain ayam dan telur dadarnya dicampur dengan sambalnya yanb pedas mantap. makan sampai keringetan. cuma yang saya kurang suka adalah perkedelnya, mungkin bukan selera saja. tapi untuk yang lainnya enak. untuk harga jangan ditanya, sangat murah! hanya saja, antrian memesannya tidak jelas. bisa saling menyelak karna ramai sekali. saya datang sudah agak malam sekitar jam 9 malam dan sudah kehabisan udang. mungkin karna saking ramainya.",538,81,501-1000,113.39999999999999
Hesti FFF,"semua menunya enak, banyak lauk tapi tetep menyatu rasanya, malah bikin makin enak. sambelnya joss, pedesnya sangat terasa. bukan terasa lagi, lebih ke nampolll. pingin balik lagi kesini",186,28,101-200,39.199999999999996
Marvel Aditya,"enak bngtttt,pantes rame. sambelnya emg beneran sambel yang notabene pedes, soalnya kadang di tempat lain ada yang ga pedes.",124,19,101-200,26.599999999999998
Momotorun Yuk,"nasi tempong khas banyuwangi cocok di lidah cumi nya enak pake banget apalagi makannya abis touring momotorun pelayanannya oke, antrian rapih mantapp lah ajib",158,24,101-200,33.599999999999994
Abdullah Faedi Rahman,"asli ini nasi tempong murah banget, dan lauk utamanya kalian bisa pilih sendiri. cukup lengkap mulai dari telor dadar, ayam, cumi, lele semua ada. ini aku pilih nasi telor tempong pakai sambal khas-nya yang asem seger pedes gak pelit sama sekali dan harganya cuman 11k. sebagai bukan warlok ini worth banget, dan tempatnya selalu ramai.",336,55,301-500,77.0
Erwin Haryanto,"makanan khas banyuwangi, nasi tempong yang banyak pilihan lauknya. sambelnya juga mantappp. recomended",102,13,101-200,18.2
EGGG YAMADA,"salah satu tempong yang dituju kalau ke banyuwangi. ada banyak pilihan lauk dari mulai ikan, cumi hitam, ayam, udang dan juga pepes tongkol. harga murah. porsi banyak dan kenyang. disini tempatnya sederhana. untuk kebersihan kurang. tempat makan kurang nyaman, apalagi kalau habis hujan. banyak sekali lalat, meja dan lantai sekitar tampak kurang bersih.",354,53,301-500,74.19999999999999
Savira Izzaanti,"untuk yang suka super pedes ini akan terasa gak pedes yaa, kalo udah sore lauknya kurang lengkap, mungkin kalo siang masih banyak pilihan",137,23,101-200,32.199999999999996
Rajab Amali,"rasa makanannya enak pwoll, meskipun kurang suka pedes. tapi kalo pas ke banyuwangi mesti sempetin makan disini. rasa telornya enak banget, udangnya juga manteb. very recommended",178,26,101-200,36.4
Permana Aji,"makanaannya enak dan pedas, sangat murah harganya dibandingkan yang di bali",75,11,51-100,15.399999999999999
Doddy Setiawan,"makanan enak harga murah, menu beragam",38,6,0-50,8.399999999999999
Verly Anindya,"ternyata nasi tempong itu enak ya. aaaa jadi pgn lagi, jauh bgt tapiii",70,13,51-100,18.2
Haby Kilap Global,"saya akui rasanya enak, rasanya paling balance, mulai dari lauk dan bumbu yang dicampur. ayam goreng dan telur dadarnya wajib untuk dicoba pedasnya cukupan, gaterlalu pedes. pas - suasanya cukup ramai, tidak ada sistem antrian di kasir, hanya nomor order dan orang bisa sebebas itu untuk menyela. minuman datang belakangan setelah makanannya habis",347,53,301-500,74.19999999999999
Atha Collections,"taste good, friendly staff, easy to park my car, boleh minta sambal banyak, pilihan menunya juga banyak, sayang saat beli petenya kosong.",137,22,101-200,30.799999999999997
Mnb Muslim,"makanan enak murah nasi tempong, paket ny udh dapet nasi, sayuran, sambal, tahu, tempe, dadar jagung, ikan asin bisa tambah ikan lain kebetulan saya tambah ikan telur dadar nasi tempong paket telur dadar es teh manis rp 14.000,- alhamdulillah terjangkau untuk pekerja lapangan seperti saya",289,45,201-300,62.99999999999999
Rahmad Azhari,"mau cari makanan yang comfort yaa nasi tempong mboh nah pilihan yang cocok, disamping murah dan enak tapi harus kudu sabar antri",128,22,101-200,30.799999999999997
Dewi Kusuma,"kalau untuk makan sekedar kenyang, lumayan lah sesuai harga, tapi kalau cari kenyamanan dalam menikmati makanan jangan makan disini.",132,19,101-200,26.599999999999998
Gemma Febriany,"salah satu nasi tempong yang ramai di area banyuwangi kota. sepanjang makan di sini gak berhenti orang-orang yang pesen bungkus, satu orang bisa bungkus lebih dari 5 porsi. lauknya banyak pilihan, tadi pesan 2 porsi nasi dengan lauk ayam goreng, extra ati ampela dan telur dadar, sama minum dengan total 48 ribu. enak, murah, kenyang!",334,55,301-500,77.0
Ade Bayu,minusnya panas aja di tempatnya dan parkir sempit. klo yang lain-lain worth it dengan harga segitu yang lumayan murmer,118,19,101-200,26.599999999999998
Laurentia Meilani,cukup banyak pilihan lauknya. enak dan harganya murah. tempat duduk cukup banyak.,81,12,51-100,16.799999999999997
JUSTIMTIMMY Timur Asy'ari,"sumpah dari sekian nasi tempong yang ada di banyuwangi, menurutku ini yang paling enak! sambelnya tu pedes tapi bikin nagih banget! asin gurih enak! suasananya bener2 banyuwangi banget",184,28,101-200,39.199999999999996
DeviraTiger,"sambelnya gak pedes sama sekali padahal mintak pedes, gak ada ikan asin dan dadar jagungnya",91,15,51-100,21.0
Satrio Budiman,harganya sangat terjangkau! sambal tempongnya mantap,52,6,51-100,8.399999999999999
Rifqi Hawari (Rifqi),"ke banyuwangi belum lengkap rasanya jika belum nyobain salah satu kuliner khas banyuwangi bernama sego tempong. kata sego dari bahasa jawa yang artinya nasi dan kata tempong dari bahasa using yang artinya tempeleng atau tampar. isinya nasi, sayur, lauk pauk dan sambal cabe merah khas banyuwangi yang pedasnya nampar banget. saya mengunjungi warung nasi tempong mbok nah karena mempunyai review yang oke banget di gmaps sekitar 4900 ulasan dan dekat dengan penginapan. letaknya di pinggir jalan, hampir kelewatan karena tempatnya mirip warteg biasa. parkir mobil bisa di pinggir jalan jadi aman. walaupun ngantri tapi servicenya cepat. untuk rasa nasi tempong menurut saya lebih kearah campuran sedikit oily, asin dan pedas, lauknya sy tambah sate udang dan telur dadar yang rasanya juga mantap banget, cocok dengan sambalnya. harganya murah di kantong, saya pikir bakal mahal karena jadi tujuan wisata, rekomended",914,139,501-1000,194.6
Nurul Awaliah Arwing,"salah satu yg direkomendasiin sama orang2. sambel tempongnya enak, sayuran rebusnya jg manis. tempenya enak masih hangat baru diangkat dari penggorengan. tapi untuk lauk lain semua udah dingin. pilihan lauknya banyak beragam. sambelnya pedes mantep, kalo ga kuat pedes minta pisah aja. tempatnya jg cukup luas tapi kebanyakan orang kayaknya take-away. tapi kekurangannya mungkin karna ngambil2 lauk dan condiment lain tuh pake tangan semua. lebih higienis sebenarnya menggunakan alat capit. atau itu memang semacam penyajian khas dari nasi tempong.",548,79,501-1000,110.6
indah rimadianti,"rameee, rekomen lauk telur dadar soalnya kmrn nyoba ini enak, pedese menurutku masih bisa dinikmati. sambel aroma jeruknya mantap ga yg kecut bgt, pas, coba manise ditambah dikit kyke akan lebih mwantap lagi tp selera sih ya, aku kmrn kyk keasinen duikit tp ga banyak meskipun antri tp cepet. beneran rasa sambel rumahan yg biasa dimasak ibukkuu",345,57,301-500,79.8
yan chen Jimmi,"enak banget. 1 porsi nasi tempong isinya nasi, lalapan rebus mentah, tahu, tempe, perkedel, ikan asin sambal. sambalnya enak banget. tinggal tambah lauknya sesuai keinginan. enak2 semua. harga bersahabat.",204,29,201-300,40.599999999999994
Anffa Adzima,"masakannya enak, tempatnya strategis tidak sulit dicari variasi makanannya super lengkappp",90,11,51-100,15.399999999999999
sendal cepit,"wenak,kemyang,sambel pedes mantep. lauk lengkap",47,5,0-50,7.0
Meggy Kadam Aryanto,sumpah demi apapun makan di sini murah banget nggak nyampe rp20.000 udah dapat porsi yang banyak banget pantesan ramai dan legend banget karena para artis pun pernah makan di sini kalau ke banyuwangi recommended deh makan di sini,229,38,201-300,53.199999999999996
